docket_no,sex,race
MC-51-CR-0020467-2020,Female,Black
MC-51-CR-0010365-2020,Male,Black
MC-51-CR-0002531-2020,Male,Black
MC-51-CR-0021858-2020,Male,Black
MC-51-CR-0007791-2020,Male,Black
MC-51-CR-0012004-2020,Male,White
MC-51-CR-0005860-2020,Male,White
MC-51-CR-0009788-2020,Male,White
MC-51-CR-0012262-2020,Male,White
MC-51-CR-0000436-2020,Female,White
MC-51-CR-0002757-2020,Male,White
MC-51-CR-0010103-2020,Female,White
MC-51-CR-0007967-2020,Female,Black
MC-51-CR-0008540-2020,Female,Black
MC-51-CR-0022707-2020,Male,Black
MC-51-CR-0020466-2020,Male,Black
MC-51-CR-0018075-2020,Male,Black
MC-51-CR-0004638-2020,Male,White
MC-51-CR-0018213-2020,Female,Black
MC-51-CR-0020600-2020,Female,White
MC-51-CR-0001808-2020,Male,White
MC-51-CR-0008726-2020,Male,Black
MC-51-CR-0022561-2020,Male,Black
MC-51-CR-0001498-2020,Male,White
MC-51-CR-0006559-2020,Male,Black
MC-51-CR-0012459-2020,Male,White
MC-51-CR-0019816-2020,Male,Black
MC-51-CR-0015598-2020,Male,Black
MC-51-CR-0015908-2020,Male,Black
MC-51-CR-0019486-2020,Female,White
MC-51-CR-0021095-2020,Female,White
MC-51-CR-0010738-2020,Female,White
MC-51-CR-0004003-2020,Female,White
MC-51-CR-0018428-2020,Male,Black
MC-51-CR-0013867-2020,Female,Black
MC-51-CR-0016657-2020,Male,White
MC-51-CR-0014536-2020,Male,Black
MC-51-CR-0006362-2020,Male,Black
MC-51-CR-0006104-2020,Male,White
MC-51-CR-0011960-2020,Male,Black
MC-51-CR-0013691-2020,Male,White
MC-51-CR-0014750-2020,Male,Black
MC-51-CR-0016431-2020,Male,Black
MC-51-CR-0012458-2020,Male,White
MC-51-CR-0019817-2020,Female,White
MC-51-CR-0015599-2020,Female,White
MC-51-CR-0010739-2020,Female,Black
MC-51-CR-0021094-2020,Female,Black
MC-51-CR-0015909-2020,Male,Black
MC-51-CR-0019487-2020,Female,White
MC-51-CR-0013690-2020,Female,Black
MC-51-CR-0014751-2020,Female,Black
MC-51-CR-0006105-2020,Male,Black
MC-51-CR-0011961-2020,Female,Asian/Pacific Islander
MC-51-CR-0004264-2020,Female,Black
MC-51-CR-0016430-2020,Female,Black
MC-51-CR-0016656-2020,Male,Black
MC-51-CR-0011797-2020,Male,Black
MC-51-CR-0004002-2020,Male,White
MC-51-CR-0018429-2020,Male,Black
MC-51-CR-0013866-2020,Female,Black
MC-51-CR-0006363-2020,Male,Black
MC-51-CR-0014537-2020,Male,White
MC-51-CR-0010190-2020,Male,Black
MC-51-CR-0000835-2020,Male,Black
MC-51-CR-0017051-2020,Male,White
MC-51-CR-0005605-2020,Male,Black
MC-51-CR-0007564-2020,Male,Black
MC-51-CR-0015330-2020,Male,Black
MC-51-CR-0002932-2020,Female,Black
MC-51-CR-0015156-2020,Female,White
MC-51-CR-0012097-2020,Male,White
MC-51-CR-0019048-2020,Male,Black
MC-51-CR-0005463-2020,Male,White
MC-51-CR-0017237-2020,Female,Black
MC-51-CR-0020693-2020,Male,Black
MC-51-CR-0018280-2020,Male,Black
MC-51-CR-0008943-2020,Male,White
MC-51-CR-0011358-2020,Female,Black
MC-51-CR-0016299-2020,Male,Black
MC-51-CR-0013039-2020,Male,Black
MC-51-CR-0022794-2020,Male,Asian/Pacific Islander
MC-51-CR-0020865-2020,Male,White
MC-51-CR-0007703-2020,Male,Black
MC-51-CR-0015157-2020,Female,White
MC-51-CR-0012096-2020,Male,Black
MC-51-CR-0017236-2020,Female,White
MC-51-CR-0019049-2020,Male,Black
